source_city,destination_city,distance,travel_mode,season,num_days,hotel_type,activity_level,food_preference,group_size,travel_cost,stay_cost,food_cost,activity_cost,total_cost,per_person_cost
Bangalore,Ladakh,3127,car,autumn,12,budget,low,mixed,1,24148,16772,11029,2879,54828,54828
Chennai,Jaipur,1816,car,summer,2,4-star,moderate,budget,6,17718,14772,1136,1709,31801,5300
Kolkata,Jaisalmer,2059,flight,winter,2,4-star,high,budget,5,12431,15332,962,4067,29513,5903
Hyderabad,Andaman,2293,flight,winter,9,budget,high,mixed,7,10896,16832,9650,20017,51655,7379
Hyderabad,Udaipur,1151,bus,monsoon,8,budget,high,mixed,1,1035,7706,8004,18303,35048,35048
Delhi,Darjeeling,1497,car,monsoon,13,3-star,high,luxury,4,7362,29804,24618,27018,79922,19981
Hyderabad,Andaman,2153,train,monsoon,2,4-star,moderate,mixed,7,2264,8342,2197,1677,13032,1862
Kolkata,Udaipur,1654,car,monsoon,14,4-star,moderate,luxury,3,8257,54813,35139,13411,111620,37207
Bangalore,Manali,2616,car,autumn,4,4-star,moderate,luxury,2,16810,22603,9298,3123,51834,25917
Chandigarh,Manali,1415,flight,monsoon,7,hostel,low,budget,1,4685,3415,3617,1639,13356,13356
Chandigarh,Jaipur,993,bus,monsoon,10,5-star,moderate,budget,7,879,93377,4961,7914,96418,13774
Kolkata,Udaipur,1699,car,summer,6,budget,moderate,mixed,5,12838,8661,6227,5405,29818,5964
Delhi,Darjeeling,1551,bus,summer,5,budget,low,luxury,4,2042,7665,9774,1312,18714,4678
Kolkata,Ooty,2111,flight,summer,2,budget,high,budget,5,9406,2635,1055,3660,15080,3016
Ahmedabad,Agra,1095,train,monsoon,11,budget,high,budget,7,1205,10080,6220,19907,33670,4810
Lucknow,Shimla,1476,bus,summer,5,budget,low,budget,3,1973,6662,2313,1229,12177,4059
Pune,Munnar,1498,car,summer,13,hostel,high,budget,7,11547,10927,6510,29974,53062,7580
Hyderabad,Agra,975,flight,autumn,2,4-star,low,budget,3,4144,12163,995,479,17780,5927
Kolkata,Shimla,1752,flight,winter,10,4-star,high,budget,4,9904,68071,5646,23988,96848,24212
Chandigarh,Shimla,1375,flight,autumn,14,3-star,high,mixed,7,6291,42620,12325,25732,78271,11182
Ahmedabad,Andaman,2264,bus,monsoon,12,budget,moderate,budget,5,1666,11801,6654,12032,28938,5788
Delhi,Jaisalmer,888,flight,summer,14,4-star,moderate,luxury,3,3909,94062,34555,11130,143656,47885
Bangalore,Agra,1966,bus,monsoon,13,budget,low,luxury,1,1689,12792,32565,3003,50049,50049
Delhi,Rishikesh,312,car,summer,7,5-star,moderate,mixed,4,3115,83059,7821,6352,90313,22578
Kolkata,Kerala,2448,flight,autumn,5,hostel,moderate,luxury,1,10963,3619,11650,4344,30575,30575
Pune,Rishikesh,1363,flight,winter,11,4-star,low,mixed,4,7303,77824,10228,2529,88095,22024
Chennai,Varanasi,1756,train,autumn,2,hostel,low,budget,4,2133,1100,1132,468,4350,1087
Kolkata,Jaisalmer,2018,bus,monsoon,11,budget,high,budget,5,1571,11439,5468,26463,40447,8089
Kolkata,Andaman,1560,flight,summer,7,3-star,high,budget,5,7883,21809,2989,12827,40958,8192
Delhi,Shimla,302,flight,summer,7,3-star,low,luxury,5,3981,23602,14204,1531,38987,7797
Delhi,Jaipur,274,bus,summer,5,hostel,low,mixed,4,303,3943,5030,1298,9517,2379
Mumbai,Ooty,1156,bus,monsoon,13,5-star,moderate,mixed,3,950,113715,12690,12699,140054,46685
Mumbai,Varanasi,1397,flight,autumn,7,4-star,moderate,mixed,2,6702,39667,7849,6013,60231,30116
Hyderabad,Manali,1428,car,autumn,13,budget,high,budget,5,9385,18476,6485,25320,53699,10740
Ahmedabad,Shimla,1342,train,monsoon,6,budget,low,mixed,3,1287,5027,5332,1279,12925,4308
Hyderabad,Darjeeling,1492,car,winter,5,hostel,high,luxury,3,16697,4328,10089,11514,42628,14209
Mumbai,Ooty,1111,train,summer,7,5-star,moderate,budget,5,1646,92331,3504,6660,93726,18745
Lucknow,Andaman,2125,bus,autumn,10,3-star,high,budget,1,2478,25735,5146,24063,57423,57423
Ahmedabad,Ladakh,2286,train,monsoon,13,budget,low,mixed,6,2201,13279,14541,3131,29837,4973
Mumbai,Andaman,2438,train,autumn,4,hostel,high,budget,4,3150,2302,1896,7442,13311,3328
Delhi,Agra,275,car,summer,5,budget,high,budget,5,2108,7583,2565,11273,21177,4235
Delhi,Ooty,2586,flight,monsoon,10,5-star,moderate,mixed,2,7804,83521,11301,7670,110297,55148
Kolkata,Ladakh,2494,train,autumn,5,3-star,moderate,mixed,6,2951,16210,4327,3850,24603,4101
Kolkata,Kerala,2517,car,autumn,7,budget,high,luxury,6,17156,7949,16179,16594,52090,8682
Ahmedabad,Andaman,2167,flight,summer,13,5-star,moderate,mixed,6,9493,191419,13116,12427,203810,33968
Hyderabad,Shimla,1433,train,autumn,5,5-star,high,luxury,1,1860,51416,9559,12043,74879,74879
Ahmedabad,Goa,1042,car,summer,6,hostel,low,budget,3,9040,4381,2864,1626,17910,5970
Mumbai,Munnar,1400,bus,winter,12,hostel,moderate,luxury,3,2102,10305,29107,9633,51147,17049
Lucknow,Shimla,1422,train,winter,4,5-star,low,budget,3,2692,69137,1890,985,74704,24901
Mumbai,Darjeeling,1922,car,autumn,9,3-star,low,mixed,1,13867,27075,8609,2090,51641,51641
Mumbai,Munnar,1533,bus,winter,9,3-star,high,luxury,6,2039,37720,20951,17010,69948,11658
Delhi,Kerala,2696,train,autumn,12,4-star,low,mixed,1,3909,75092,10715,2625,92340,92340
Mumbai,Andaman,2558,bus,autumn,11,hostel,moderate,mixed,5,2588,6841,11343,9907,27611,5522
Ahmedabad,Shimla,1394,bus,autumn,5,4-star,low,mixed,3,1507,29442,5324,1236,37509,12503
Chennai,Varanasi,1740,train,monsoon,9,budget,moderate,luxury,4,1614,7605,18351,8649,32597,8149
Chennai,Kerala,736,bus,winter,6,budget,low,luxury,2,1007,10795,14920,1624,28346,14173
Pune,Manali,1456,train,summer,6,budget,moderate,mixed,7,2247,8491,5509,5575,19640,2806
Lucknow,Shimla,1334,bus,monsoon,5,hostel,low,mixed,1,1035,2427,5630,1145,10236,10236
Mumbai,Varanasi,1481,train,autumn,2,3-star,high,luxury,3,1825,5877,4293,4723,16718,5573
Delhi,Agra,328,flight,autumn,7,budget,moderate,budget,1,3884,7890,3410,5516,20701,20701
Ahmedabad,Manali,1431,flight,summer,14,3-star,high,luxury,6,7529,42187,30542,29972,99207,16535
Mumbai,Manali,1965,train,autumn,3,budget,moderate,budget,2,2896,3330,1425,2356,10007,5004
Bangalore,Andaman,2231,train,autumn,3,4-star,low,luxury,7,3243,18151,5664,660,24946,3564
Ahmedabad,Udaipur,1050,flight,autumn,14,hostel,high,budget,3,5042,9404,7641,33711,55798,18599
Ahmedabad,Munnar,1541,flight,winter,5,4-star,low,mixed,5,8025,33729,5200,1285,43415,8683
Kolkata,Jaipur,1528,car,summer,4,4-star,low,mixed,2,14643,26195,3711,925,45475,22737
Pune,Udaipur,1052,car,winter,6,5-star,moderate,mixed,1,9674,104831,6474,4817,125797,125797
Chandigarh,Munnar,1413,car,autumn,8,hostel,moderate,luxury,1,11139,5341,17085,6591,40156,40156
Hyderabad,Varanasi,1036,train,winter,11,budget,low,budget,2,1613,20777,4869,2701,29960,14980
Hyderabad,Goa,985,bus,summer,10,budget,high,budget,2,1097,16800,5561,21614,45072,22536
Lucknow,Shimla,1489,flight,monsoon,14,hostel,moderate,budget,4,4322,6047,7500,11023,26003,6501
Chennai,Jaipur,1738,train,summer,6,3-star,high,budget,3,2918,23831,2907,14316,43972,14657
Hyderabad,Shimla,1380,car,summer,11,4-star,high,luxury,3,12062,77822,22997,24977,137858,45953
Kolkata,Rishikesh,1603,bus,winter,2,hostel,low,budget,3,2200,1552,1096,523,5371,1790
Bangalore,Munnar,428,train,monsoon,13,3-star,low,luxury,3,397,33053,28137,2825,64412,21471
Ahmedabad,Jaipur,1097,car,autumn,6,hostel,high,budget,6,9225,4237,3132,13330,26933,4489
Lucknow,Agra,985,train,autumn,11,hostel,high,mixed,5,1512,5961,11651,21696,36738,7348
Ahmedabad,Goa,1066,flight,autumn,14,budget,high,mixed,4,5331,19381,12055,30249,60314,15079
Bangalore,Ooty,352,car,summer,3,3-star,low,luxury,2,2992,10728,7202,728,21650,10825
Hyderabad,Rishikesh,1254,bus,monsoon,2,5-star,moderate,mixed,2,992,20189,1700,1630,24511,12256
Mumbai,Jaipur,1111,flight,autumn,5,5-star,moderate,budget,5,4754,59149,2329,4363,63535,12707
Lucknow,Jaisalmer,1372,flight,winter,6,hostel,moderate,budget,3,6753,5366,3080,5039,20238,6746
Kolkata,Munnar,2560,flight,summer,2,hostel,high,mixed,5,11793,1463,2227,4760,18220,3644
Mumbai,Rishikesh,1716,flight,winter,5,3-star,low,luxury,6,10631,18016,9933,1099,35712,5952
Delhi,Andaman,3076,flight,winter,7,5-star,low,mixed,7,16198,123805,6315,1628,133152,19022
Mumbai,Goa,609,train,summer,9,3-star,high,mixed,5,1063,27104,10066,20942,53258,10652
Lucknow,Darjeeling,1475,flight,autumn,13,5-star,low,luxury,1,6151,157143,29036,2733,195064,195064
Ahmedabad,Ooty,1397,flight,monsoon,9,3-star,low,mixed,2,5426,22546,10327,1876,40175,20087
Bangalore,Andaman,2232,flight,winter,9,budget,high,budget,5,13349,16790,4156,16957,46127,9225
Lucknow,Agra,1065,flight,summer,10,5-star,moderate,luxury,3,4357,153211,24454,7729,189751,63250
Pune,Andaman,2181,train,winter,12,5-star,moderate,luxury,7,4348,203214,26459,9201,218899,31271
Delhi,Rishikesh,297,bus,winter,3,4-star,low,luxury,6,356,22630,7273,697,27861,4643
Kolkata,Agra,1211,train,winter,5,4-star,moderate,luxury,1,1918,39449,10491,4663,56522,56522
Mumbai,Goa,614,train,winter,14,4-star,high,luxury,4,1078,93752,33771,28270,141184,35296
Bangalore,Varanasi,1803,train,autumn,11,budget,moderate,mixed,5,2407,13658,9890,10776,33057,6611
Chennai,Goa,905,flight,monsoon,5,3-star,high,luxury,1,3488,12691,10735,10936,37850,37850
Hyderabad,Jaipur,1065,bus,summer,4,3-star,low,mixed,4,1223,12795,3437,1004,16614,4153
Mumbai,Jaisalmer,892,car,winter,12,4-star,moderate,budget,1,9467,99910,6621,11646,127643,127643
Bangalore,Agra,1845,car,winter,6,4-star,moderate,luxury,4,17875,39287,13589,5574,68693,17173
Chennai,Kerala,716,bus,monsoon,10,4-star,high,mixed,6,588,43119,11453,18792,66557,11093
Kolkata,Goa,1901,train,winter,3,3-star,low,budget,1,3883,12551,1612,644,18690,18690
Lucknow,Munnar,1496,car,autumn,7,4-star,low,mixed,2,11054,35427,6686,1445,54612,27306
Chennai,Andaman,1442,train,autumn,3,budget,moderate,mixed,2,1791,3403,2644,2811,10649,5324
Bangalore,Varanasi,1913,train,summer,7,hostel,high,luxury,1,3514,5955,15979,15950,41398,41398
Pune,Varanasi,1002,car,winter,5,budget,moderate,mixed,7,8467,7553,4908,4804,23158,3308
Pune,Ooty,1299,bus,summer,14,3-star,moderate,luxury,7,1743,54466,30187,10875,87544,12506
Mumbai,Ladakh,2555,train,autumn,7,5-star,low,luxury,3,3173,85221,13424,1443,103262,34421
Delhi,Udaipur,667,car,summer,6,budget,low,budget,4,6305,9013,3039,1446,17823,4456
Lucknow,Kerala,1563,train,summer,3,4-star,moderate,luxury,2,2480,19244,6783,3034,31541,15771
Bangalore,Agra,1886,train,winter,6,hostel,high,mixed,4,3569,4848,6023,12271,24040,6010
Hyderabad,Agra,983,bus,monsoon,7,4-star,low,luxury,6,808,27691,14897,1917,40781,6797
Mumbai,Jaipur,1080,bus,summer,2,4-star,low,luxury,7,1243,11991,3964,483,15913,2273
Chandigarh,Ooty,1263,train,summer,2,5-star,high,budget,1,1966,26505,1032,4019,33522,33522
Kolkata,Manali,1907,bus,winter,13,4-star,high,luxury,6,2702,86112,32776,24212,131221,21870
Kolkata,Kerala,2458,train,summer,2,3-star,moderate,budget,5,3774,7015,862,1610,11936,2387
Kolkata,Goa,1984,car,autumn,12,budget,low,mixed,5,14933,14005,12078,2744,39384,7877
Hyderabad,Kerala,1518,flight,winter,14,4-star,moderate,mixed,4,8049,94667,14725,12387,116845,29211
Kolkata,Jaisalmer,2070,train,autumn,3,hostel,high,luxury,2,2981,1888,6833,6997,18700,9350
Ahmedabad,Manali,1546,car,autumn,9,hostel,moderate,budget,1,12866,6226,4725,8288,32105,32105
Mumbai,Goa,562,car,monsoon,10,hostel,low,budget,5,2761,4496,4414,2508,12760,2552
Hyderabad,Munnar,1422,car,monsoon,4,budget,moderate,budget,1,7809,4206,1772,3648,17436,17436
Lucknow,Shimla,1446,flight,summer,13,budget,high,luxury,5,7611,20064,28992,26845,75161,15032
Hyderabad,Andaman,2102,flight,autumn,9,budget,moderate,mixed,1,8150,11405,8944,6947,35446,35446
Chandigarh,Rishikesh,1375,car,summer,3,5-star,high,luxury,3,12210,44305,7027,6340,69881,23294
Kolkata,Udaipur,1650,flight,autumn,6,4-star,high,budget,4,6052,34434,2725,11339,49094,12274
Chennai,Shimla,2763,car,monsoon,12,5-star,high,luxury,2,16483,102429,30176,27643,176731,88365
Pune,Jaisalmer,1255,car,monsoon,8,5-star,high,luxury,7,7647,63752,19806,16420,96862,13837
Hyderabad,Udaipur,1140,train,summer,13,5-star,moderate,luxury,3,1909,195867,31896,10746,240418,80139
Lucknow,Jaisalmer,1353,train,winter,11,hostel,low,mixed,1,2282,8691,11765,2918,25657,25657
Pune,Andaman,2168,bus,monsoon,4,4-star,moderate,budget,7,1562,18851,2218,3294,23332,3333
Delhi,Ladakh,977,car,summer,4,4-star,high,luxury,2,8887,23857,7854,7832,48431,24215
Pune,Shimla,1323,train,autumn,11,5-star,high,budget,1,1605,111961,5870,23643,143079,143079
Pune,Agra,1035,train,winter,9,5-star,low,luxury,1,1809,132095,20496,2123,156522,156522
Mumbai,Ooty,1143,bus,winter,12,5-star,moderate,mixed,3,1516,175542,12610,12401,202069,67356
Mumbai,Ladakh,2596,bus,autumn,3,4-star,moderate,mixed,4,2460,18313,2731,2729,23609,5902
Lucknow,Udaipur,1022,car,winter,2,4-star,high,mixed,5,9713,13794,2295,4738,27487,5497
Delhi,Rishikesh,155,train,summer,5,budget,high,budget,5,252,6733,2172,9296,16608,3322
Pune,Goa,1092,bus,monsoon,10,5-star,moderate,luxury,1,823,85280,21652,9272,117026,117026
Pune,Ladakh,2148,flight,monsoon,12,4-star,low,mixed,4,5915,54827,12627,2908,68650,17162
Hyderabad,Jaipur,965,car,autumn,5,hostel,high,budget,3,6356,2889,2843,10730,22818,7606
Chandigarh,Rishikesh,1309,train,summer,14,hostel,high,mixed,1,2381,11537,13234,33394,60546,60546
Hyderabad,Rishikesh,1267,bus,summer,3,5-star,moderate,budget,7,1384,44674,1330,2776,45148,6450
Chennai,Goa,839,bus,winter,7,5-star,high,mixed,2,1127,104128,7135,13341,125731,62866
Lucknow,Goa,982,train,autumn,3,5-star,high,luxury,1,1208,30228,7160,5857,44453,44453
Pune,Ooty,1251,bus,winter,5,hostel,low,luxury,4,1580,4396,12148,1281,17465,4366
Kolkata,Kerala,2413,flight,monsoon,14,3-star,high,luxury,4,6698,35724,28477,26170,87362,21841
Kolkata,Ladakh,2532,train,autumn,6,budget,high,mixed,7,3161,6453,5534,14399,26593,3799
Mumbai,Shimla,1938,bus,winter,5,hostel,high,budget,4,2676,4634,2199,10463,17974,4494
Chennai,Goa,959,car,winter,13,budget,high,budget,5,10412,21135,7390,24295,56909,11382
Delhi,Darjeeling,1457,bus,summer,2,budget,low,budget,2,1686,3253,1098,479,6516,3258
Ahmedabad,Varanasi,1068,train,winter,2,hostel,high,budget,3,2082,1686,1054,3623,8445,2815
Lucknow,Udaipur,1147,flight,summer,14,3-star,high,budget,5,5741,56226,7989,33301,92931,18586
Bangalore,Ooty,265,flight,autumn,11,5-star,low,mixed,6,2637,108791,9621,3011,111654,18609
Ahmedabad,Darjeeling,1525,bus,summer,3,budget,high,budget,4,1769,3918,1707,6259,12288,3072
Mumbai,Andaman,2580,bus,winter,13,3-star,moderate,mixed,5,4067,51278,13454,10495,71365,14273
Chandigarh,Jaisalmer,1323,bus,winter,3,hostel,low,luxury,6,1790,2266,6152,813,9919,1653
Bangalore,Munnar,418,bus,winter,6,3-star,moderate,mixed,7,646,26476,5554,5813,34640,4949
Kolkata,Munnar,2588,car,monsoon,9,4-star,high,mixed,6,16394,34173,8095,16812,67927,11321
Chennai,Varanasi,1764,train,autumn,4,4-star,low,mixed,3,2473,23158,3757,979,30367,10122
Pune,Ooty,1204,flight,summer,6,budget,moderate,budget,4,6997,8174,3342,5655,21751,5438
Lucknow,Andaman,2211,bus,winter,8,3-star,high,mixed,1,3359,31870,6813,18115,60157,60157
Hyderabad,Ooty,1274,bus,monsoon,10,budget,low,budget,4,1098,10585,4955,2401,17135,4284
Chandigarh,Kerala,1553,flight,summer,5,4-star,moderate,mixed,3,8065,29238,4518,3864,45685,15228
Chennai,Ooty,473,bus,summer,5,hostel,high,luxury,4,631,3305,10094,11139,22652,5663
Ahmedabad,Munnar,1462,car,monsoon,3,3-star,high,luxury,1,7148,5830,6272,6838,26089,26089
Hyderabad,Shimla,1482,flight,winter,4,5-star,moderate,luxury,1,7516,56437,9059,3855,76867,76867
Lucknow,Ooty,1342,train,summer,2,hostel,moderate,luxury,3,2122,1653,4247,1839,9860,3287
Kolkata,Rishikesh,1612,car,summer,11,budget,high,budget,3,14468,16928,5826,26077,63300,21100
Bangalore,Shimla,2463,flight,monsoon,4,budget,high,budget,5,6295,3765,2262,8919,19118,3824
Chandigarh,Kerala,1499,train,autumn,8,budget,high,budget,1,2209,9049,4132,14962,30352,30352
Chennai,Darjeeling,2134,bus,winter,6,4-star,moderate,mixed,6,2761,51831,5549,5031,58654,9776
Hyderabad,Jaisalmer,1383,train,summer,14,4-star,low,budget,4,1942,99706,7130,3205,100785,25196
Mumbai,Manali,1948,flight,autumn,7,budget,high,luxury,7,6688,9581,15975,14676,42228,6033
Kolkata,Goa,1914,bus,autumn,8,budget,low,budget,3,2294,10408,3819,1698,18220,6073
Mumbai,Shimla,1832,car,autumn,11,hostel,high,mixed,7,13560,6129,12188,24644,50869,7267
Lucknow,Udaipur,1097,train,summer,2,budget,moderate,mixed,6,1774,2699,2267,1989,7857,1310
Mumbai,Andaman,2487,train,winter,4,5-star,high,mixed,4,4916,54429,3827,9605,65499,16375
Bangalore,Jaisalmer,2009,bus,winter,8,5-star,moderate,luxury,4,3027,105383,15627,7545,118424,29606
Chennai,Ooty,650,train,autumn,14,hostel,moderate,mixed,1,901,7746,13343,11778,33768,33768
Chandigarh,Kerala,1577,flight,monsoon,8,4-star,high,budget,3,4585,40105,3645,16918,65252,21751
Ahmedabad,Ooty,1246,car,summer,5,5-star,low,luxury,1,9908,76937,11067,1181,99093,99093
Hyderabad,Ooty,1306,train,autumn,4,5-star,high,luxury,2,2041,41220,8013,7604,58879,29440
Kolkata,Ooty,2118,car,autumn,6,4-star,moderate,mixed,6,17353,37806,6009,6157,60593,10099
Pune,Shimla,1358,bus,monsoon,14,budget,moderate,mixed,7,976,11475,14251,12704,35465,5066
Lucknow,Kerala,1515,train,monsoon,6,3-star,low,budget,1,1773,11871,3234,1651,18528,18528
Mumbai,Jaisalmer,875,car,winter,10,5-star,moderate,mixed,3,8151,138928,10636,9880,167595,55865
Delhi,Shimla,307,flight,winter,3,hostel,high,luxury,2,2778,2611,6308,6945,18642,9321
Bangalore,Manali,2697,car,summer,3,budget,high,luxury,7,26117,4132,7267,5883,39059,5580
Bangalore,Kerala,680,train,summer,7,5-star,high,budget,5,1156,108906,3890,15873,116842,23368
Bangalore,Ooty,320,bus,autumn,3,3-star,low,mixed,3,303,8528,2892,661,12383,4128
Kolkata,Darjeeling,653,train,autumn,4,3-star,low,budget,6,1016,10446,2125,1096,13214,2202
Bangalore,Andaman,2262,flight,summer,13,4-star,low,luxury,6,11470,90251,29759,3073,121098,20183
Ahmedabad,Ladakh,2219,bus,summer,5,hostel,moderate,budget,1,2594,4115,2181,4131,13020,13020
Lucknow,Kerala,1485,flight,winter,13,budget,low,budget,6,9283,22667,6561,3437,37752,6292
Bangalore,Varanasi,1847,car,monsoon,3,5-star,high,budget,5,11371,27184,1327,5532,40873,8175
Lucknow,Kerala,1567,flight,summer,3,hostel,low,luxury,7,6652,2435,6802,805,15024,2146
Hyderabad,Darjeeling,1531,bus,autumn,7,4-star,low,budget,3,1693,35958,3221,1825,42696,14232
Bangalore,Ladakh,3100,car,monsoon,9,budget,high,luxury,1,16157,8399,22125,16082,62763,62763
Hyderabad,Andaman,2192,flight,winter,4,4-star,moderate,budget,1,11520,27992,2066,3363,44941,44941
Ahmedabad,Manali,1535,bus,summer,7,hostel,moderate,budget,6,1652,4633,3331,6872,14839,2473
Delhi,Munnar,2740,train,autumn,7,hostel,low,budget,1,4097,4452,3899,1718,14165,14165
Pune,Agra,944,car,autumn,4,3-star,low,luxury,6,6719,11484,8565,1077,25061,4177
Kolkata,Agra,1396,car,summer,2,5-star,moderate,luxury,4,10388,28625,3807,1669,40041,10010
Pune,Manali,1526,flight,winter,3,budget,moderate,mixed,1,8326,4467,2927,2903,18624,18624
Delhi,Ooty,2593,train,autumn,10,budget,high,budget,1,3951,12973,5003,18725,40653,40653
Lucknow,Rishikesh,1201,flight,winter,4,4-star,moderate,luxury,5,6324,31114,7855,3073,43529,8706
Bangalore,Varanasi,1848,bus,autumn,14,budget,low,budget,6,1775,17463,7665,2924,26845,4474
Kolkata,Ladakh,2580,flight,monsoon,5,3-star,low,luxury,1,9061,11020,11985,1316,33382,33382
Lucknow,Jaisalmer,1299,flight,winter,12,budget,high,budget,6,6839,20231,5398,26302,52892,8815
Kolkata,Darjeeling,645,bus,summer,5,3-star,low,mixed,4,839,16663,4358,1167,20725,5181
Delhi,Manali,561,train,winter,6,budget,moderate,budget,7,919,11507,2756,6173,19220,2746
Bangalore,Varanasi,1991,bus,winter,11,3-star,moderate,mixed,3,2716,41767,10384,8852,63718,21239
Kolkata,Munnar,2600,train,summer,11,5-star,low,mixed,4,4192,148715,12633,2676,151394,37849
Chennai,Manali,2748,bus,winter,7,4-star,low,budget,1,3884,48537,3234,1851,57506,57506
Bangalore,Andaman,2373,train,winter,14,3-star,moderate,budget,5,4549,50518,7694,12769,67977,13595
Delhi,Ooty,2538,flight,winter,14,3-star,low,luxury,2,11852,63011,34314,3484,112661,56331
Lucknow,Darjeeling,1563,train,autumn,6,5-star,low,budget,5,2394,61657,3084,1483,61756,12351
Hyderabad,Agra,904,flight,winter,7,5-star,moderate,luxury,7,5864,106726,13249,7188,119723,17103
Bangalore,Jaipur,1901,train,winter,13,4-star,moderate,luxury,7,3483,101983,28096,12071,131070,18724
Lucknow,Jaipur,991,train,summer,4,5-star,moderate,luxury,2,1769,59365,8994,4093,74220,37110
Lucknow,Darjeeling,1462,car,summer,2,hostel,low,budget,3,14264,1477,1003,498,17242,5747
Pune,Goa,941,car,monsoon,14,3-star,high,mixed,2,5479,32719,15343,27931,81472,40736
Bangalore,Darjeeling,2170,train,summer,4,3-star,moderate,mixed,1,3000,12085,3810,3744,22639,22639
Kolkata,Agra,1363,car,winter,6,4-star,low,luxury,1,14159,40717,12800,1536,69213,69213
Chennai,Munnar,662,flight,monsoon,12,3-star,high,mixed,4,2544,30550,12081,23685,61974,15494
Ahmedabad,Manali,1412,flight,monsoon,11,4-star,moderate,mixed,2,4659,53677,10674,9284,78293,39147
Ahmedabad,Munnar,1464,flight,autumn,7,5-star,high,budget,7,5895,69539,3200,14330,83668,11953
Lucknow,Ladakh,2247,flight,summer,8,budget,moderate,mixed,4,11406,11867,7363,6775,33671,8418
Hyderabad,Munnar,1518,flight,winter,14,3-star,high,mixed,4,7989,48851,14544,25469,87169,21792
Delhi,Jaisalmer,795,bus,autumn,2,budget,low,mixed,2,858,2819,2050,475,6203,3101
Hyderabad,Shimla,1406,car,summer,14,4-star,high,budget,1,11455,106146,6608,31948,156157,156157
Bangalore,Agra,1985,flight,summer,7,4-star,high,budget,1,8420,54336,3861,15475,82092,82092
Pune,Shimla,1495,bus,autumn,14,5-star,low,luxury,1,1665,151904,27154,3644,184366,184366
Kolkata,Andaman,1545,bus,summer,7,4-star,low,luxury,7,2009,52034,13103,1861,62107,8872
Mumbai,Shimla,1853,bus,winter,3,hostel,low,mixed,3,2890,2305,3160,743,9098,3033
Mumbai,Rishikesh,1669,car,winter,8,4-star,moderate,luxury,4,17067,59662,18726,6550,91804,22951
Chennai,Shimla,2653,car,autumn,4,5-star,low,budget,6,19592,42979,2201,820,59033,9839
Kolkata,Ladakh,2552,car,monsoon,7,hostel,moderate,mixed,3,15304,3189,7853,5859,32205,10735
Lucknow,Kerala,1503,train,winter,11,hostel,high,luxury,1,2433,10230,24747,20164,57574,57574
Lucknow,Goa,1085,bus,monsoon,8,5-star,low,budget,7,796,73396,4085,1959,72212,10316
Kolkata,Kerala,2599,bus,autumn,5,3-star,low,luxury,1,2489,13167,12318,1276,29250,29250
Mumbai,Goa,608,car,summer,13,4-star,moderate,mixed,1,5775,102549,13173,13324,134822,134822
Hyderabad,Rishikesh,1225,bus,autumn,11,4-star,high,mixed,1,1420,60002,10262,26438,98122,98122
